config_sequence,performance_ratio,score
"[1, 1, 0, 1, 44665, 309, 765, 4024, 6, 584, 3537]",0.9686119083413056,21262.0
"[1, 1, 1, 0, 94155, 796, 686, 4135, 0, 1103, 3426]",0.8538107603298255,18742.0
"[1, 1, 0, 1, 48758, 631, 380, 3353, 4, 564, 6695]",0.996309963099631,21870.0
"[0, 0, 0, 1, 47392, 374, 799, 3386, 1, 1083, 5261]",0.354152430413193,7774.0
"[0, 0, 1, 0, 103132, 306, 795, 3324, 7, 636, 2507]",0.35155573777960003,7717.0
"[0, 1, 0, 0, 118976, 733, 656, 4971, 2, 1106, 3533]",0.3446312240900187,7565.0
"[0, 1, 0, 1, 65972, 310, 489, 4338, 3, 1477, 5947]",0.3681381258257027,8081.0
"[0, 1, 0, 1, 85986, 487, 771, 4336, 3, 1752, 4491]",0.36941369413694136,8109.0
"[0, 0, 1, 0, 111688, 737, 209, 5032, 7, 1104, 4237]",0.29606851624071795,6499.0
"[1, 1, 1, 0, 49927, 504, 398, 5859, 5, 1746, 6189]",0.8647442029975855,18982.0
"[1, 1, 0, 1, 84195, 806, 725, 1613, 8, 1430, 5298]",1.0141223634458567,22261.0
"[0, 0, 0, 0, 58904, 336, 422, 4925, 1, 625, 5981]",0.352375745979682,7735.0
"[0, 0, 1, 1, 53000, 867, 370, 5807, 3, 1741, 5502]",0.37711266001548904,8278.0
"[1, 1, 0, 0, 64204, 430, 618, 1571, 7, 1918, 4715]",0.8193704159263815,17986.0
"[0, 1, 0, 1, 116142, 620, 312, 3011, 3, 1514, 5750]",0.4528723065008428,9941.0
"[1, 0, 0, 1, 68262, 536, 426, 5211, 5, 1295, 5683]",1.3978406450731173,30684.0
"[0, 1, 1, 0, 83990, 485, 252, 4628, 1, 827, 7420]",0.3618513962917407,7943.0
"[1, 0, 1, 1, 46768, 683, 288, 4776, 8, 1241, 2997]",1.3862694182497382,30430.0
"[1, 1, 1, 0, 79374, 298, 772, 4476, 1, 1114, 5525]",0.8756776456653456,19222.0
"[1, 0, 1, 1, 34801, 468, 654, 4118, 5, 849, 2329]",1.4228053391645028,31232.0
"[1, 0, 1, 0, 66388, 411, 715, 1986, 5, 1119, 4597]",0.9933943783882283,21806.0
"[1, 1, 1, 1, 62239, 273, 504, 4406, 5, 1090, 5488]",1.009976766434331,22170.0
"[0, 1, 1, 1, 50937, 368, 248, 1993, 3, 944, 7754]",0.5012983463167965,11004.0
"[1, 0, 1, 1, 98049, 707, 603, 5706, 7, 1427, 3779]",1.1757550908842422,25809.0
"[0, 1, 1, 1, 53367, 361, 290, 1517, 0, 842, 3831]",0.5323219898865655,11685.0
"[0, 0, 1, 0, 90652, 660, 781, 5855, 0, 1789, 8166]",0.34239897954535103,7516.0
"[1, 0, 1, 1, 76104, 855, 221, 3684, 2, 1071, 2636]",1.4189330782196712,31147.0
"[0, 0, 1, 1, 62777, 660, 379, 4758, 6, 1420, 7309]",0.3828982734271787,8405.0
"[0, 1, 0, 0, 89242, 567, 626, 5775, 0, 1961, 6632]",0.33629447405585167,7382.0
